Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,AL,Alabama,Hoover,City,BRFSS,Prevention,135896,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,46.3,44.7,48,,,"81,619","(33.3767602729, -86.8051937568)",PREVENT,COREM,135896,,Core preventive services for older men
2016,AZ,Arizona,Peoria,City,BRFSS,Prevention,454050,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,37.9,36.8,38.9,,,"154,065","(33.7847206422, -112.298680584)",PREVENT,COREM,454050,,Core preventive services for older men
2016,AR,Arkansas,Little Rock,City,BRFSS,Prevention,541000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31.4,30.7,32.1,,,"193,524","(34.7253957894, -92.3583751863)",PREVENT,COREW,541000,,Core preventive services for older women
2016,AZ,Arizona,Tucson,City,BRFSS,Prevention,477000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,35,34.5,35.5,,,"520,116","(32.1567244483, -110.877085494)",PREVENT,COREM,477000,,Core preventive services for older men
2016,AR,Arkansas,Fort Smith,City,BRFSS,Prevention,524550,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,27.4,26.1,28.8,,,"86,209","(35.3491692636, -94.3696317306)",PREVENT,COREM,524550,,Core preventive services for older men
2016,CA,California,Alameda,City,BRFSS,Prevention,600562,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,35.9,34.6,37.1,,,"73,812","(37.7650849031, -122.266489842)",PREVENT,COREW,600562,,Core preventive services for older women
2016,CA,California,Antioch,City,BRFSS,Prevention,602252,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31.8,30.9,32.8,,,"102,372","(37.9777042922, -121.796606971)",PREVENT,COREW,602252,,Core preventive services for older women
2016,AR,Arkansas,Springdale,City,BRFSS,Prevention,566080,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.3,30.6,34.2,,,"69,797","(36.1869932598, -94.1536274531)",PREVENT,COREM,566080,,Core preventive services for older men
2016,AZ,Arizona,Tempe,City,BRFSS,Prevention,473000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,37,36,38,,,"161,719","(33.3882640307, -111.931802302)",PREVENT,COREM,473000,,Core preventive services for older men
2016,AZ,Arizona,Surprise,City,BRFSS,Prevention,471510,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,36,34.5,37.4,,,"117,517","(33.6803835177, -112.452218439)",PREVENT,COREW,471510,,Core preventive services for older women
2016,CA,California,Alameda,City,BRFSS,Prevention,600562,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.9,35.6,38.3,,,"73,812","(37.7650849031, -122.266489842)",PREVENT,COREM,600562,,Core preventive services for older men
2016,CA,California,Alhambra,City,BRFSS,Prevention,600884,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,25.9,25,26.8,,,"83,089","(34.0839734383, -118.135514119)",PREVENT,COREM,600884,,Core preventive services for older men
2016,CA,California,Alhambra,City,BRFSS,Prevention,600884,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,32.3,31.4,33.2,,,"83,089","(34.0839734383, -118.135514119)",PREVENT,COREW,600884,,Core preventive services for older women
2016,AZ,Arizona,Yuma,City,BRFSS,Prevention,485540,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,31.4,29.9,32.9,,,"93,064","(32.5986027117, -114.54836837)",PREVENT,COREM,485540,,Core preventive services for older men
2016,AR,Arkansas,Springdale,City,BRFSS,Prevention,566080,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,27.7,26.1,29.2,,,"69,797","(36.1869932598, -94.1536274531)",PREVENT,COREW,566080,,Core preventive services for older women
2016,AZ,Arizona,Scottsdale,City,BRFSS,Prevention,465000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,41.4,40.6,42.2,,,"217,385","(33.6872493651, -111.865085877)",PREVENT,COREM,465000,,Core preventive services for older men
2016,AZ,Arizona,Surprise,City,BRFSS,Prevention,471510,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,39.1,37.3,40.9,,,"117,517","(33.6803835177, -112.452218439)",PREVENT,COREM,471510,,Core preventive services for older men
2016,AZ,Arizona,Scottsdale,City,BRFSS,Prevention,465000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,37.1,36.5,37.8,,,"217,385","(33.6872493651, -111.865085877)",PREVENT,COREW,465000,,Core preventive services for older women
2016,AR,Arkansas,Jonesboro,City,BRFSS,Prevention,535710,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,41.7,39.4,44,,,"67,263","(35.8208121538, -90.6794991686)",PREVENT,COREM,535710,,Core preventive services for older men
2016,CA,California,Anaheim,City,BRFSS,Prevention,602000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,30.2,29.7,30.7,,,"336,265","(33.8389076996, -117.857613481)",PREVENT,COREW,602000,,Core preventive services for older women
2016,CA,California,Anaheim,City,BRFSS,Prevention,602000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.7,36.1,37.4,,,"336,265","(33.8389076996, -117.857613481)",PREVENT,COREM,602000,,Core preventive services for older men
2016,AR,Arkansas,Fayetteville,City,BRFSS,Prevention,523290,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.4,34.3,38.4,,,"73,580","(36.0712117312, -94.1659600436)",PREVENT,COREM,523290,,Core preventive services for older men
2016,AR,Arkansas,Jonesboro,City,BRFSS,Prevention,535710,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26.8,25.2,28.4,,,"67,263","(35.8208121538, -90.6794991686)",PREVENT,COREW,535710,,Core preventive services for older women
2016,AR,Arkansas,Fort Smith,City,BRFSS,Prevention,524550,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26.8,25.6,28,,,"86,209","(35.3491692636, -94.3696317306)",PREVENT,COREW,524550,,Core preventive services for older women
2016,AZ,Arizona,Tucson,City,BRFSS,Prevention,477000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,29.6,29.2,30.1,,,"520,116","(32.1567244483, -110.877085494)",PREVENT,COREW,477000,,Core preventive services for older women
2016,AZ,Arizona,Yuma,City,BRFSS,Prevention,485540,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26.3,25.2,27.4,,,"93,064","(32.5986027117, -114.54836837)",PREVENT,COREW,485540,,Core preventive services for older women
2016,AZ,Arizona,Tempe,City,BRFSS,Prevention,473000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,33,32.1,33.9,,,"161,719","(33.3882640307, -111.931802302)",PREVENT,COREW,473000,,Core preventive services for older women
2016,AR,Arkansas,Fayetteville,City,BRFSS,Prevention,523290,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31.4,29.8,33.2,,,"73,580","(36.0712117312, -94.1659600436)",PREVENT,COREW,523290,,Core preventive services for older women
2016,CA,California,Antioch,City,BRFSS,Prevention,602252,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.3,31.1,33.5,,,"102,372","(37.9777042922, -121.796606971)",PREVENT,COREM,602252,,Core preventive services for older men
2016,AR,Arkansas,Little Rock,City,BRFSS,Prevention,541000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,42.6,41.7,43.5,,,"193,524","(34.7253957894, -92.3583751863)",PREVENT,COREM,541000,,Core preventive services for older men
2016,CA,California,Chino Hills,City,BRFSS,Prevention,613214,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,31.1,29.8,32.3,,,"74,799","(33.950774546, -117.725326968)",PREVENT,COREM,613214,,Core preventive services for older men
2016,CA,California,Apple Valley,City,BRFSS,Prevention,602364,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,29,27.3,30.9,,,"69,135","(34.5315984948, -117.211012664)",PREVENT,COREM,602364,,Core preventive services for older men
2016,CA,California,Costa Mesa,City,BRFSS,Prevention,616532,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,40.6,39.4,41.8,,,"109,960","(33.6667651353, -117.91350475)",PREVENT,COREM,616532,,Core preventive services for older men
2016,CA,California,Chula Vista,City,BRFSS,Prevention,613392,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,29.1,28.6,29.7,,,"243,916","(32.6282964262, -117.010042407)",PREVENT,COREW,613392,,Core preventive services for older women
2016,CA,California,Daly City,City,BRFSS,Prevention,617918,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.8,31.8,34,,,"101,123","(37.6861552276, -122.468298024)",PREVENT,COREM,617918,,Core preventive services for older men
2016,CA,California,Concord,City,BRFSS,Prevention,616000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.1,34.9,37.4,,,"122,067","(37.9721810307, -122.001588036)",PREVENT,COREM,616000,,Core preventive services for older men
2016,CA,California,Chico,City,BRFSS,Prevention,613014,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,29.7,28.2,31.3,,,"86,187","(39.7568503668, -121.815983972)",PREVENT,COREW,613014,,Core preventive services for older women
2016,CA,California,Citrus Heights,City,BRFSS,Prevention,613588,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,28.4,27.3,29.5,,,"83,301","(38.6947788342, -121.287991502)",PREVENT,COREW,613588,,Core preventive services for older women
2016,CA,California,Compton,City,BRFSS,Prevention,615044,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,19.4,18.6,20.2,,,"96,455","(33.892965693, -118.227506568)",PREVENT,COREM,615044,,Core preventive services for older men
2016,CA,California,Costa Mesa,City,BRFSS,Prevention,616532,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,33,32.2,34.1,,,"109,960","(33.6667651353, -117.91350475)",PREVENT,COREW,616532,,Core preventive services for older women
2016,CA,California,Chino,City,BRFSS,Prevention,613210,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,29.3,28.2,30.4,,,"77,983","(33.983588126, -117.665296584)",PREVENT,COREW,613210,,Core preventive services for older women
2016,CA,California,Carson,City,BRFSS,Prevention,611530,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,34.1,33.1,35.1,,,"91,714","(33.8374083001, -118.255936422)",PREVENT,COREW,611530,,Core preventive services for older women
2016,CA,California,Berkeley,City,BRFSS,Prevention,606000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,36.6,35.8,37.4,,,"112,580","(37.8725678765, -122.274907975)",PREVENT,COREW,606000,,Core preventive services for older women
2016,CA,California,Downey,City,BRFSS,Prevention,619766,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,27.7,26.8,28.7,,,"111,772","(33.937867256, -118.131150116)",PREVENT,COREM,619766,,Core preventive services for older men
2016,CA,California,Carson,City,BRFSS,Prevention,611530,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,26,25,26.9,,,"91,714","(33.8374083001, -118.255936422)",PREVENT,COREM,611530,,Core preventive services for older men
2016,CA,California,Bakersfield,City,BRFSS,Prevention,603526,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,27.7,27,28.3,,,"347,483","(35.3513302855, -119.029786003)",PREVENT,COREW,603526,,Core preventive services for older women
2016,CA,California,Chico,City,BRFSS,Prevention,613014,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36.5,34.8,38.6,,,"86,187","(39.7568503668, -121.815983972)",PREVENT,COREM,613014,,Core preventive services for older men
2016,CA,California,Bellflower,City,BRFSS,Prevention,604982,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,32.3,31.5,33.2,,,"76,616","(33.8880417923, -118.127100236)",PREVENT,COREW,604982,,Core preventive services for older women
2016,CA,California,Bellflower,City,BRFSS,Prevention,604982,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,26.6,25.7,27.6,,,"76,616","(33.8880417923, -118.127100236)",PREVENT,COREM,604982,,Core preventive services for older men
2016,CA,California,Chula Vista,City,BRFSS,Prevention,613392,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,25.8,25.2,26.5,,,"243,916","(32.6282964262, -117.010042407)",PREVENT,COREM,613392,,Core preventive services for older men
2016,CA,California,Chino,City,BRFSS,Prevention,613210,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,27.4,26.2,28.7,,,"77,983","(33.983588126, -117.665296584)",PREVENT,COREM,613210,,Core preventive services for older men
2016,CA,California,Carlsbad,City,BRFSS,Prevention,611194,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,33.6,32.2,35,,,"105,328","(33.1248051026, -117.282903303)",PREVENT,COREM,611194,,Core preventive services for older men
2016,CA,California,Downey,City,BRFSS,Prevention,619766,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,33.1,32.2,34,,,"111,772","(33.937867256, -118.131150116)",PREVENT,COREW,619766,,Core preventive services for older women
2016,CA,California,Daly City,City,BRFSS,Prevention,617918,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,33.7,32.7,34.8,,,"101,123","(37.6861552276, -122.468298024)",PREVENT,COREW,617918,,Core preventive services for older women
2016,CA,California,Buena Park,City,BRFSS,Prevention,608786,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31.4,30.4,32.4,,,"80,530","(33.8572126844, -118.004517591)",PREVENT,COREW,608786,,Core preventive services for older women
2016,CA,California,Corona,City,BRFSS,Prevention,616350,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,32.1,31.3,32.9,,,"152,374","(33.8623571787, -117.564224471)",PREVENT,COREW,616350,,Core preventive services for older women
2016,CA,California,Berkeley,City,BRFSS,Prevention,606000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,38.2,37.1,39.3,,,"112,580","(37.8725678765, -122.274907975)",PREVENT,COREM,606000,,Core preventive services for older men
2016,CA,California,Baldwin Park,City,BRFSS,Prevention,603666,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,22.4,21.5,23.5,,,"75,390","(34.082871519, -117.972100918)",PREVENT,COREM,603666,,Core preventive services for older men
2016,CA,California,Carlsbad,City,BRFSS,Prevention,611194,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,37,35.7,38.3,,,"105,328","(33.1248051026, -117.282903303)",PREVENT,COREW,611194,,Core preventive services for older women
2016,CA,California,Citrus Heights,City,BRFSS,Prevention,613588,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.5,31.1,33.8,,,"83,301","(38.6947788342, -121.287991502)",PREVENT,COREM,613588,,Core preventive services for older men
2016,CA,California,Concord,City,BRFSS,Prevention,616000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,35.2,34.1,36.1,,,"122,067","(37.9721810307, -122.001588036)",PREVENT,COREW,616000,,Core preventive services for older women
2016,CA,California,Clovis,City,BRFSS,Prevention,614218,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,37.4,36.1,38.7,,,"95,631","(36.8289400179, -119.68665285)",PREVENT,COREM,614218,,Core preventive services for older men
2016,CA,California,Bakersfield,City,BRFSS,Prevention,603526,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.5,31.7,33.3,,,"347,483","(35.3513302855, -119.029786003)",PREVENT,COREM,603526,,Core preventive services for older men
2016,CA,California,Baldwin Park,City,BRFSS,Prevention,603666,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,28.5,27.6,29.4,,,"75,390","(34.082871519, -117.972100918)",PREVENT,COREW,603666,,Core preventive services for older women
2016,CA,California,Corona,City,BRFSS,Prevention,616350,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,31.1,30.2,31.9,,,"152,374","(33.8623571787, -117.564224471)",PREVENT,COREM,616350,,Core preventive services for older men
2016,CA,California,Burbank,City,BRFSS,Prevention,608954,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,32.2,31.2,33.2,,,"103,340","(34.1879799605, -118.323429032)",PREVENT,COREM,608954,,Core preventive services for older men
2016,CA,California,Buena Park,City,BRFSS,Prevention,608786,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,37.3,36,38.5,,,"80,530","(33.8572126844, -118.004517591)",PREVENT,COREM,608786,,Core preventive services for older men
2016,CA,California,Compton,City,BRFSS,Prevention,615044,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26,25.1,26.9,,,"96,455","(33.892965693, -118.227506568)",PREVENT,COREW,615044,,Core preventive services for older women
